Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,AK,2020,10,Female,15,Ambidextrous,157,24,158,2,Bus,20,0.572,35,Swimming,0,0,500,1000,0,500,22,Right foot,7,6,Index finger,July,Fall,Yes,No,Meat,Soft drink (caffeinated),History,5,10,11,Yes - other,In person,0,1,10,15,1,2,0,2,20,0,1,2,0,1,Some,Graduate degree,Pop,Fly,Rich,Relative,"Wildlife, animals"
USA,NJ,2020,11,Male,16,Right-Handed,60000,5,8,0,Car,15,30,30,Other,1000,500,100,2,2,2,12345,Same length,1234r,12345,Index finger,April,Summer,Yes,No,Meat,Milk,Other,8,8,4,Yes - dial-up connection,Text messaging,2,2,2,0.2,1,10,5,2,0.5,1,1,3,40,1,Very little,High school,Other,Freeze time,Rich,Other,"Wildlife, animals"
USA,OH,2020,12,Female,17,Right-Handed,5'4,7,23.5,2,Car,4,0.911,64,Dancing,615,433,989,492,0,1000,23.9,Same length,60,50,Index finger,August,Summer,Yes,No,Meat,Water,History,8,10,8,Yes - broadband connection,In person,30,30,0,3,2,4,0,0,7,7,100,10,5,0,Very little,Less than high school,Pop,Telepathy,Happy,Relative,Health
USA,PA,2020,10,Male,17,Right-Handed,178,41,165,3,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NC,2020,12,Female,17,Right-Handed,165,24,172,2,Bus,20,0.438,47,Other,850,900,850,850,900,900,24,Same length,75,70,Index finger,August,Winter,No,No,Rice/Noodle dishes,Water,Computers and technology,7,8,4,Yes - other,Internet chat or instant messaging,0,4,10,3,2,1,0,0,3,3,35,0,0,1,Some,Undergraduate degree,Pop,Freeze time,Happy,Friend,Health
USA,OH,2020,11,Female,16,Right-Handed,152.4,24,,1,Bus,20,1.731,42,Dancing,508,369,1000,406,749,1000,152.4,Same length,70,70,Same length,May,Summer,Yes,No,Salads,Water,Art,8,9,6,Yes - other,Text messaging,52,35,15,57,7,48,48,0,56,56,56,33,5,5,Some,Graduate degree,Other,Freeze time,Rich,Business person,Education/Youth development
USA,PA,2020,6,Female,12,Right-Handed,156,24,155,1,Bus,30,0.587,42,Dancing,503,663,834,947,551,765,24,Same length,95,95,Same length,October,Summer,Yes,No,Pizza/Pasta,Water,Social studies,10,12,5,Yes - broadband connection,Cell phone,7,10,35,3,2,11,2.5,0,2,1,7,5,0,1.5,Very little,Graduate degree,Pop,Invisibility,Healthy,Teacher,Health
USA,MI,2020,9,Female,14,Right-Handed,159,20,153,1,Car,25,0.544,43,Other,1000,1000,1000,1000,500,600,21,Left foot,70,80,Ring finger,July,Summer,Yes,Yes,No favorite,Water,Other,8,10,6,Yes - broadband connection,In person,30,20,5,1,10,10,4,0,2,2,35,6,2,3,Some,Graduate degree,Rap/Hip hop,Freeze time,Happy,Actor,"Wildlife, animals"
USA,OH,2020,7,Male,13,Right-Handed,163,9,131,1,Bus,5,0.367,60,Soccer,652,626,800,610,882,1000,9,Same length,4,10,Ring finger,May,Summer,No,No,Meat,Water,Mathematics and statistics,7,10,6,Yes - other,Text messaging,20,10,1,7,2,24,8,8,6,4,5,4,1,3,Some,Other,Rap/Hip hop,Super strength,Healthy,Sports person,Other
USA,IN,2020,11,Male,16,Right-Handed,180,27,176,1,Car,6,0.426,41,Other,500,500,500,500,850,900,27,Same length,75,78,Ring finger,January,Fall,No,No,Meat,Water,Other,8,9,3,Yes - broadband connection,In person,30,26,25,1,1,6,11,7,12,3,20,2,15,1,Very little,Graduate degree,Rap/Hip hop,Invisibility,Healthy,Sports person,"Wildlife, animals"
USA,TN,2020,6,Female,12,Left-Handed,60,21,152,1,Car,45,0.27,27,Gymnastics,,,,,,,20,Left foot,5,6,Ring finger,February,Winter,Yes,No,Rice/Noodle dishes,Soft drink (caffeinated),Physical education,8,3,4,Yes - broadband connection,Text messaging,30,142,7hrs,2hrs,1hrs,3hrs,2hrs,2hrs,1hrs,4hrs,12hrs,5hrs,0hrs,0hrs,Some,Graduate degree,Other,Telepathy,Famous,Business person,Health
USA,OH,2020,8,Female,13,Right-Handed,160,22,160,1,Bus,25,0.385,53,Soccer,1,4,3,2,6,5,22,Same length,70,65,Index finger,June,Summer,Yes,No,Pizza/Pasta,Water,Science,6,8,3,Yes - other,Text messaging,24,55,6,5,6,5,7,1,20,15,24,10,0,5,A lot,Graduate degree,Rap/Hip hop,Telepathy,Rich,Other,Environment
USA,NY,2020,8,Female,14,Right-Handed,157,23,150,1,Bus,20,0.42,41,Soccer,1000,1000,1000,500,0,0,23,Same length,80,79,Index finger,December,Fall,No,No,Pizza/Pasta,Water,English,9,7,6,Yes - broadband connection,Text messaging,14,113,12,1,1,15,1,7,28,14,7,7,0,1,A lot,Undergraduate degree,Other,Freeze time,Happy,Relative,International aid
USA,OH,2020,12,Male,18,Ambidextrous,187,28,181,2,Car,5,0.456,45,Walking/Hiking,283,529,91,802,1000,1000,29,Left foot,110,120,Ring finger,January,Winter,Yes,No,Pizza/Pasta,Tea,Music,5,6,3,Yes - other,Text messaging,30,30,10,9,1,1,2,9,5,1,3,0,0,3,A lot,Graduate degree,Jazz,Telepathy,Happy,Community leader or elder,International aid
USA,NY,2020,8,Female,14,Right-Handed,145,22,,1,Bus,10,0.478,34,None,600,500,550,500,400,650,23,Left foot,6.2,6.3,Ring finger,December,Winter,No,No,Pizza/Pasta,Juice,Art,7,10,4,Yes - broadband connection,Internet chat or instant messaging,115,110,5,17,5,5,0,7,47,50,50,2,0,4,Some,High school,Other,Invisibility,Happy,Friend,Health
USA,MI,2020,9,Female,15,Ambidextrous,160,25,165,5,Car,28,0.346,42,Other,50,50,100,400,500,600,26,Left foot,6,7,Ring finger,October,Summer,Yes,No,No favorite,Water,Music,6,8,4,Yes - broadband connection,Other,0,0,0,0,2,0,3,5,0,0,4,2,0,0,Some,Other,Other,Freeze time,Famous,Other,Other
USA,OR,2020,11,Male,17,Right-Handed,178,26,172,1,Car,10,0.423,42,Athletics,800,950,1000,550,1000,1000,27,Left foot,95,90,Index finger,October,Winter,No,No,Pizza/Pasta,Water,History,7,11,3,Yes - broadband connection,In person,85,50,15,3,20,9,10,15,2,3,6,1,0,0,A lot,Graduate degree,Pop,Freeze time,Happy,Friend,Health
